Date,HomeTeam,AwayTeam,FTHG,FTAG,HR,AR,BbMxH,BbMxA,BbAHh,BbMxAHH,BbMxAHA
01/10/05,Hertha,Werder Bremen,1,2,0,0,2.35,3.2,-0.25,2.02,1.93
01/10/05,Leverkusen,Bielefeld,1,1,0,0,1.53,8.5,-1.25,2.05,1.92
01/10/05,M'gladbach,Mainz,1,0,0,0,1.73,5.91,-0.75,1.93,2.01
01/10/05,Nurnberg,FC Koln,2,1,0,0,2.35,3.3,-0.25,2.02,1.95
02/10/05,Dortmund,Stuttgart,0,0,0,1,2.37,3.3,-0.25,2.1,1.85
02/10/05,Kaiserslautern,Hamburg,0,3,1,0,3.35,2.3,0.25,1.92,2.06
15/10/05,Bielefeld,Hertha,3,0,0,0,3.85,2.2,0.25,2.17,1.8
16/10/05,Duisburg,Ein Frankfurt,0,1,0,0,2.1,3.8,-0.5,2.19,1.88
16/10/05,FC Koln,Hannover,1,4,0,0,2.15,3.6,-0.25,1.9,2.04
15/10/05,Hamburg,Wolfsburg,0,1,1,1,1.67,6.5,-0.75,1.93,2.07
15/10/05,Kaiserslautern,Dortmund,3,3,0,0,2.67,2.7,0,2,2.05
15/10/05,Mainz,Leverkusen,3,1,0,0,3.2,2.33,0.25,1.98,2.17
15/10/05,Schalke 04,Bayern Munich,1,1,0,1,2.63,2.8,0,1.93,2.1
15/10/05,Stuttgart,M'gladbach,1,1,0,0,1.93,4.4,-0.5,1.97,2.04
15/10/05,Werder Bremen,Nurnberg,6,2,0,0,1.4,10.67,-1.5,2.04,1.92
22/10/05,Bayern Munich,Duisburg,4,0,0,0,1.2,20,-1.75,1.88,2.17
22/10/05,Ein Frankfurt,FC Koln,6,3,0,0,2.3,3.6,-0.25,1.96,2.03
22/10/05,Hannover,Werder Bremen,0,0,0,1,3.58,2.2,0.25,2.11,1.86
22/10/05,Hertha,Mainz,3,1,0,0,1.52,8,-1,1.9,2.08
22/10/05,M'gladbach,Kaiserslautern,4,1,0,0,1.85,4.85,-0.5,1.92,2.18
22/10/05,Nurnberg,Bielefeld,2,3,0,0,2.16,3.7,-0.5,2.11,1.9
22/10/05,Wolfsburg,Schalke 04,0,0,0,0,2.7,2.8,0,2.08,2.02
23/10/05,Dortmund,Hamburg,1,1,0,0,2.6,2.95,0,1.84,2.18
23/10/05,Leverkusen,Stuttgart,1,1,0,0,2.15,3.75,-0.5,2.1,1.87
29/10/05,Dortmund,M'gladbach,2,1,0,0,2.1,4.18,-0.5,2.01,1.96
29/10/05,Duisburg,Wolfsburg,1,0,0,0,2.91,2.55,0,2.23,1.83
29/10/05,FC Koln,Bayern Munich,1,2,0,0,7.5,1.57,1,2.02,1.94
29/10/05,Hamburg,Schalke 04,1,0,0,1,2.4,3.3,-0.25,2.1,1.93
29/10/05,Kaiserslautern,Leverkusen,2,2,0,0,2.8,2.6,0,2.15,1.85
29/10/05,Stuttgart,Hertha,3,3,0,0,2.45,3.3,-0.25,2.06,1.9
29/10/05,Werder Bremen,Ein Frankfurt,4,1,0,0,1.45,9,-1.25,2.05,1.94
30/10/05,Bielefeld,Hannover,4,1,0,0,2.31,3.3,-0.25,2.02,1.94
30/10/05,Mainz,Nurnberg,4,1,0,0,2.1,4.05,-0.5,2.09,1.9
05/11/05,Bayern Munich,Werder Bremen,3,1,0,0,1.8,5.5,-0.75,2.06,1.96
05/11/05,Ein Frankfurt,Bielefeld,3,0,0,0,2.15,4,-0.5,2.14,1.88
05/11/05,Hannover,Mainz,2,2,0,0,2,4.6,-0.5,2.08,2.05
05/11/05,Hertha,Kaiserslautern,3,0,0,0,1.55,8.15,-1,2.02,2.17
05/11/05,Leverkusen,Dortmund,2,1,0,0,2.25,3.6,-0.25,1.84,2.13
05/11/05,Schalke 04,Duisburg,3,0,0,0,1.4,10.4,-1.25,1.81,2.17
