Date,HomeTeam,AwayTeam,FTHG,FTAG,HR,AR,BbMxH,BbMxA,BbAHh,BbMxAHH,BbMxAHA
03/12/05,Celta,Betis,2,1,0,1,2,4.5,-0.5,2.11,1.88
03/12/05,Real Madrid,Getafe,1,0,1,0,1.42,10,-1.25,2,2
04/12/05,Alaves,Mallorca,0,3,0,0,2.3,3.53,-0.25,1.95,2.07
04/12/05,Cadiz,Zaragoza,1,2,0,0,2.35,3.5,-0.25,2.04,2
04/12/05,Espanol,Valencia,1,3,0,1,3.15,2.55,0.25,1.85,2.12
04/12/05,Malaga,Osasuna,1,2,0,0,2.5,3.2,-0.25,2.19,1.83
04/12/05,Santander,Sociedad,2,2,0,1,2.57,3.1,0,1.9,2.07
04/12/05,Sevilla,La Coruna,0,2,2,0,2.25,3.65,-0.25,1.9,2.07
04/12/05,Villarreal,Barcelona,0,2,0,1,4.55,2,0.5,2,1.96
10/12/05,Sociedad,Villarreal,1,3,0,0,2.78,2.8,0,2.07,1.9
10/12/05,Valencia,Ath Bilbao,1,1,0,1,1.57,7.7,-1,2.07,1.9
11/12/05,Ath Madrid,Alaves,1,1,0,0,1.66,7.8,-1,2.02,1.95
11/12/05,Barcelona,Sevilla,2,1,0,0,1.36,11.66,-1.5,1.98,1.98
11/12/05,Betis,Espanol,0,0,0,0,2.2,3.79,-0.25,1.84,2.14
11/12/05,Getafe,Santander,1,2,0,0,1.85,5.05,-0.5,1.89,2.06
11/12/05,La Coruna,Cadiz,1,0,0,0,1.63,7,-0.75,1.84,2.13
11/12/05,Malaga,Real Madrid,0,2,0,0,4.75,1.93,0.5,2.05,1.95
11/12/05,Osasuna,Mallorca,1,0,0,0,1.67,6.6,-0.75,1.95,2
11/12/05,Zaragoza,Celta,1,0,0,0,2.5,3.1,-0.25,2.2,1.82
17/12/05,Ath Bilbao,Betis,2,0,0,1,2.35,3.6,-0.25,2.08,1.92
17/12/05,Cadiz,Barcelona,1,3,0,0,11,1.44,1.25,2,2.11
17/12/05,Celta,La Coruna,0,3,1,0,2.5,3.1,0,1.86,2.17
18/12/05,Alaves,Valencia,0,1,0,0,4.55,2,0.5,1.93,2.05
18/12/05,Espanol,Zaragoza,2,2,0,0,2.5,3.4,-0.25,2.19,1.83
18/12/05,Mallorca,Ath Madrid,2,2,1,1,2.7,2.8,0,1.95,2.03
18/12/05,Real Madrid,Osasuna,1,1,0,1,1.6,7,-1,2.03,1.93
18/12/05,Santander,Malaga,1,1,3,2,2.35,3.4,-0.25,2.07,1.93
18/12/05,Sevilla,Sociedad,3,2,0,2,1.8,6,-0.75,2,2.08
18/12/05,Villarreal,Getafe,2,1,0,0,1.62,8,-1,1.99,1.96
20/12/05,Barcelona,Celta,2,0,0,0,1.25,18.15,-1.75,1.9,2.08
21/12/05,Betis,Alaves,3,0,0,0,1.9,5,-0.5,1.85,2.1
21/12/05,Getafe,Sevilla,1,0,1,0,2.8,2.9,0,1.95,2.03
21/12/05,La Coruna,Espanol,1,2,0,1,1.65,6.5,-0.75,1.92,2.05
21/12/05,Malaga,Villarreal,0,0,0,0,3.82,2.3,0.25,2.1,1.95
21/12/05,Real Madrid,Santander,1,2,0,0,1.3,15,-1.75,1.9,2.03
21/12/05,Sociedad,Cadiz,2,0,0,1,2.05,5,-0.5,2,1.96
21/12/05,Valencia,Mallorca,3,0,0,0,1.47,9.96,-1,1.78,2.22
21/12/05,Zaragoza,Ath Bilbao,3,2,0,0,2.35,3.75,-0.25,2,1.98
22/12/05,Osasuna,Ath Madrid,2,1,0,0,2,4.6,-0.5,2.04,1.92
07/01/06,Ath Bilbao,La Coruna,1,2,0,0,2.75,2.85,0,2.01,1.93
07/01/06,Espanol,Barcelona,1,2,0,0,8.5,1.5,1,2.18,1.8
08/01/06,Alaves,Zaragoza,0,2,0,0,2.7,2.95,0,1.94,2.02
08/01/06,Ath Madrid,Valencia,0,0,0,0,3.2,2.38,0.25,1.93,2.05
08/01/06,Cadiz,Getafe,1,0,1,1,2.5,3,0,1.8,2.2
08/01/06,Celta,Sociedad,1,0,0,0,1.91,4.4,-0.5,2,1.94
08/01/06,Mallorca,Betis,1,1,0,0,2.4,3.2,-0.25,2.05,1.85
08/01/06,Osasuna,Santander,1,1,0,0,1.7,6.25,-0.75,1.8,2.1
08/01/06,Sevilla,Malaga,3,1,0,1,1.74,5.8,-0.75,2.11,1.83
08/01/06,Villarreal,Real Madrid,0,0,0,0,2.6,2.88,0,1.9,2.03
14/01/06,Betis,Ath Madrid,1,0,0,0,2.35,3.4,-0.25,2.04,1.91
14/01/06,Valencia,Osasuna,2,0,0,0,1.8,5.75,-0.75,1.96,1.98
15/01/06,Barcelona,Ath Bilbao,2,1,1,0,1.24,19.6,-1.75,1.86,2.08
15/01/06,Getafe,Celta,1,1,0,0,2.33,3.4,-0.25,2.05,1.89
15/01/06,La Coruna,Alaves,0,2,0,0,1.5,9,-1.25,2.03,1.9
15/01/06,Malaga,Cadiz,0,2,1,0,2.05,4.15,-0.5,2.08,1.85
15/01/06,Real Madrid,Sevilla,4,2,0,0,1.7,6.8,-0.75,1.85,2.1
15/01/06,Santander,Villarreal,1,0,2,1,3.5,2.47,0.25,1.94,2.02
15/01/06,Sociedad,Espanol,0,1,0,1,2.2,3.8,-0.25,1.95,2.01
15/01/06,Zaragoza,Mallorca,3,1,0,0,1.86,5.5,-0.5,1.8,2.15
21/01/06,Real Madrid,Cadiz,3,1,0,0,1.25,15,-1.5,1.83,2.14
21/01/06,Zaragoza,Ath Madrid,0,2,0,0,2.15,3.9,-0.25,1.88,2.05
22/01/06,Barcelona,Alaves,2,0,0,0,1.18,23,-2,2.08,1.83
22/01/06,Betis,Valencia,0,2,0,0,3.1,2.44,0.25,1.85,2.05
22/01/06,Getafe,Espanol,5,0,0,0,2.35,3.35,-0.25,2.05,1.92
22/01/06,La Coruna,Mallorca,2,2,0,0,1.55,8.5,-1,1.84,2.11
22/01/06,Malaga,Celta,0,2,0,0,2.55,3,0,1.89,2.05
22/01/06,Santander,Sevilla,2,3,0,0,2.64,2.9,0,1.95,2
22/01/06,Sociedad,Ath Bilbao,3,3,0,0,2.3,3.55,-0.25,2.05,1.91
22/01/06,Villarreal,Osasuna,2,1,0,0,1.9,4.92,-0.5,1.85,2.12
28/01/06,Ath Bilbao,Getafe,1,0,0,0,2.25,3.65,-0.25,1.85,2.12
28/01/06,Ath Madrid,La Coruna,3,2,0,0,2.45,3.3,-0.25,2.02,1.91
28/01/06,Cadiz,Santander,1,1,0,0,2.4,3.25,-0.25,2,1.92
29/01/06,Alaves,Sociedad,3,1,0,0,2.65,2.88,0,1.91,2.05
29/01/06,Celta,Real Madrid,1,2,0,0,4,2.15,0.5,1.87,2.05
29/01/06,Espanol,Malaga,3,1,0,0,2,4.25,-0.5,2,1.94
29/01/06,Mallorca,Barcelona,0,3,1,0,10,1.45,1.25,1.92,2.06
29/01/06,Osasuna,Betis,0,2,0,0,1.87,4.8,-0.5,1.9,2.04
29/01/06,Sevilla,Villarreal,2,0,0,1,2.4,3.1,-0.25,2.05,1.88
29/01/06,Valencia,Zaragoza,2,2,0,1,1.65,7,-0.75,1.88,2.04
04/02/06,La Coruna,Valencia,0,1,0,0,2.7,2.95,0,1.93,2.02
04/02/06,Malaga,Ath Bilbao,2,1,1,0,2.45,3.2,-0.25,2.11,1.82
04/02/06,Real Madrid,Espanol,4,0,0,0,1.35,10.5,-1.5,2.06,1.87
05/02/06,Barcelona,Ath Madrid,1,3,0,0,1.48,8.5,-1,1.88,2.1
05/02/06,Getafe,Alaves,2,2,0,0,1.87,4.75,-0.5,1.9,2.03
05/02/06,Santander,Celta,0,1,0,0,2.52,3,0,1.83,2.13
05/02/06,Sevilla,Osasuna,0,1,1,0,1.9,5.1,-0.5,1.85,2.13
05/02/06,Sociedad,Mallorca,2,1,0,0,1.9,4.5,-0.5,1.9,2.08
