Date,HomeTeam,AwayTeam,FTHG,FTAG,HR,AR,BbMxH,BbMxA,BbAHh,BbMxAHH,BbMxAHA
30/09/17,Waasland-Beveren,Antwerp,3,0,0,0,2.13,3.75,-0.25,1.83,2.14
01/10/17,Anderlecht,Standard,1,0,0,0,1.7,5.5,-1,2.22,1.77
01/10/17,Club Brugge,Gent,2,1,0,0,1.78,5,-0.75,2.04,1.94
01/10/17,Waregem,Lokeren,1,3,0,0,1.62,6.25,-1,2.05,1.92
13/10/17,Mechelen,Anderlecht,3,4,0,0,4.66,1.85,0.5,2.13,1.83
14/10/17,Charleroi,Eupen,2,2,0,0,1.65,5.78,-1,2.16,1.81
14/10/17,Genk,Mouscron,1,1,0,0,1.55,7.47,-1.25,2.09,1.86
14/10/17,Gent,Waasland-Beveren,2,0,0,1,1.64,6.03,-1,2.14,1.83
14/10/17,Lokeren,St Truiden,1,1,0,1,2.5,3.3,0,1.77,2.26
15/10/17,Antwerp,Waregem,3,0,0,1,2.8,2.7,0,2.03,1.92
15/10/17,Oostende,Club Brugge,2,3,0,1,3.8,2.2,0.25,2.04,1.9
15/10/17,Standard,Kortrijk,3,1,1,1,1.6,7.5,-1.25,2.11,1.87
20/10/17,Mouscron,Standard,1,3,0,0,3.86,2.1,0.5,1.89,2.06
21/10/17,Eupen,Mechelen,4,1,0,0,2.33,3.1,-0.25,2.04,1.93
21/10/17,Kortrijk,Gent,1,1,0,0,4.7,1.79,0.75,1.91,2.04
21/10/17,Lokeren,Charleroi,1,1,0,0,2.95,2.57,0,2.1,1.84
21/10/17,St Truiden,Oostende,1,0,0,0,2.45,3,-0.25,2.12,1.83
22/10/17,Anderlecht,Genk,0,1,0,0,1.8,4.75,-0.75,2.02,1.93
22/10/17,Club Brugge,Antwerp,1,0,0,0,1.37,9.4,-1.5,2.12,1.84
22/10/17,Waregem,Waasland-Beveren,2,5,0,0,1.86,4.2,-0.5,1.87,2.08
24/10/17,Gent,Eupen,3,0,0,0,1.44,7.6,-1.25,1.95,2.02
24/10/17,Mechelen,Lokeren,0,2,0,0,2.1,3.84,-0.5,1.99,1.96
24/10/17,Oostende,Charleroi,3,0,0,0,2.36,3.18,-0.25,2.05,1.91
25/10/17,Anderlecht,Waregem,2,0,0,0,1.5,7,-1.25,2.1,1.85
25/10/17,Genk,Club Brugge,2,0,0,0,2.65,2.75,0,1.96,2.04
25/10/17,Waasland-Beveren,Kortrijk,2,1,0,0,1.8,5,-0.75,2.05,1.88
26/10/17,Antwerp,Standard,0,0,0,0,3.39,2.32,0.25,1.97,1.99
26/10/17,St Truiden,Mouscron,1,0,0,0,1.85,5,-0.75,2.11,1.86
27/10/17,Charleroi,Gent,2,1,0,0,2.94,2.63,0,2.07,1.89
28/10/17,Eupen,Anderlecht,2,3,0,0,5.75,1.6,1,1.93,2.03
28/10/17,Kortrijk,Genk,0,0,0,0,5.5,1.9,0.75,2.03,1.91
28/10/17,Lokeren,Oostende,0,3,0,0,2.65,2.75,0,1.96,1.99
28/10/17,Waregem,Mechelen,2,1,0,0,1.83,5.4,-0.75,2.07,1.93
29/10/17,Club Brugge,St Truiden,4,1,0,0,1.45,8,-1.25,2.01,1.96
29/10/17,Mouscron,Antwerp,2,2,0,0,2.42,3.1,-0.25,2.09,1.88
29/10/17,Standard,Waasland-Beveren,3,1,0,0,1.7,5.75,-0.75,1.86,2.11
03/11/17,Gent,Standard,1,0,0,0,2,4.5,-0.5,1.96,1.99
04/11/17,Genk,Lokeren,0,0,0,0,1.39,9,-1.5,2.06,1.89
04/11/17,Mechelen,Kortrijk,2,0,0,0,1.75,5.25,-0.75,1.95,2
04/11/17,St Truiden,Eupen,4,4,0,0,1.81,4.7,-0.75,2.05,1.89
04/11/17,Waasland-Beveren,Mouscron,2,0,0,0,1.66,5.3,-0.75,1.86,2.11
05/11/17,Anderlecht,Club Brugge,0,0,0,0,2.1,3.75,-0.5,2.12,1.84
05/11/17,Antwerp,Charleroi,1,3,0,0,2.83,2.67,0,2.01,1.95
05/11/17,Oostende,Waregem,4,2,1,0,2.1,3.88,-0.5,2.04,1.9
17/11/17,Charleroi,Mechelen,2,0,0,1,1.88,4.41,-0.5,1.88,2.09
18/11/17,Eupen,Antwerp,0,1,0,0,2.4,3.12,-0.25,2.06,1.9
18/11/17,Kortrijk,St Truiden,3,2,1,0,2.73,2.74,0,1.97,1.98
18/11/17,Mouscron,Anderlecht,1,2,0,0,7.49,1.5,1.25,1.84,2.13
18/11/17,Standard,Oostende,0,0,1,2,1.85,4.46,-0.5,1.85,2.11
19/11/17,Club Brugge,Waasland-Beveren,3,0,0,0,1.36,9.13,-1.5,2.07,1.87
19/11/17,Lokeren,Gent,0,3,1,0,4.42,1.95,0.5,1.98,1.96
19/11/17,Waregem,Genk,0,1,0,0,2.86,2.6,0,2.08,1.86
24/11/17,Gent,Mouscron,3,1,0,0,1.35,10.5,-1.5,2.05,1.91
25/11/17,Antwerp,Mechelen,0,0,0,0,2.2,3.51,-0.25,1.91,2.07
25/11/17,Oostende,Eupen,1,0,0,0,1.75,4.64,-0.75,1.97,1.96
25/11/17,St Truiden,Lokeren,0,0,0,2,1.84,4.74,-0.75,2.07,1.89
25/11/17,Waasland-Beveren,Charleroi,0,2,0,1,2.58,2.91,0,1.89,2.07
26/11/17,Anderlecht,Kortrijk,4,0,0,0,1.27,12,-1.75,1.99,1.98
26/11/17,Club Brugge,Waregem,3,2,0,0,1.4,8.59,-1.25,1.86,2.12
26/11/17,Genk,Standard,0,2,0,0,2.1,4.29,-0.5,1.95,1.99
01/12/17,Charleroi,Oostende,1,1,0,0,2.06,4.1,-0.5,2.07,1.9
02/12/17,Kortrijk,Waasland-Beveren,4,1,0,0,2.85,2.76,0,2.1,2.03
02/12/17,Lokeren,Anderlecht,1,2,0,0,7,1.58,1,1.93,2.01
