Date,HomeTeam,AwayTeam,FTHG,FTAG,HR,AR,BbMxH,BbMxA,BbAHh,BbMxAHH,BbMxAHA
29/10/17,Panetolikos,Apollon,1,1,0,0,1.67,7.96,-0.75,1.84,2.09
29/10/17,Panionios,AEK,0,1,0,0,3.86,2.2,0.25,2.05,1.87
29/10/17,Xanthi,Atromitos,0,2,0,0,2.45,3.66,-0.25,2.06,1.89
30/10/17,PAOK,Asteras Tripolis,2,0,0,0,1.37,12,-1.25,1.89,2.09
04/11/17,Asteras Tripolis,Panathinaikos,1,0,0,0,3.25,2.7,0.25,1.75,2.25
04/11/17,Atromitos,Panionios,0,0,0,0,2.27,3.94,-0.25,1.91,2.05
04/11/17,Panetolikos,Xanthi,1,3,0,0,2.3,4.35,-0.25,1.87,2.1
05/11/17,AEK,PAOK,1,0,1,2,2.32,3.63,-0.25,1.95,2.02
05/11/17,Apollon,Giannina,4,3,0,0,2.75,3.24,0,1.82,2.13
05/11/17,Kerkyra,Larisa,1,1,0,0,2.38,3.87,-0.25,1.99,1.95
05/11/17,Olympiakos,Platanias,5,1,0,0,1.18,23.8,-2.25,2.25,1.76
06/11/17,Levadeiakos,Lamia,0,0,1,0,1.96,5.32,-0.5,1.96,1.98
18/11/17,Lamia,Kerkyra,1,1,0,2,2.1,5.41,-0.5,1.9,2.05
18/11/17,Larisa,Apollon,1,0,0,0,2.3,4,-0.25,1.88,2.05
18/11/17,Olympiakos,Levadeiakos,2,1,0,0,1.19,28.55,-2,1.68,2.35
19/11/17,Giannina,Panetolikos,1,1,0,0,2.06,4.5,-0.5,2.06,1.96
19/11/17,Panathinaikos,AEK,1,1,0,0,2.5,3.88,-0.25,1.92,2.03
19/11/17,Platanias,Asteras Tripolis,0,3,0,0,2.29,3.88,-0.25,1.93,2.05
19/11/17,Xanthi,Panionios,2,0,0,1,2.68,3.37,-0.25,2.17,1.81
20/11/17,PAOK,Atromitos,2,1,0,0,1.42,12.79,-1.25,2.07,1.87
25/11/17,Apollon,Lamia,1,1,0,0,2.31,4.2,-0.25,1.88,2.05
25/11/17,Atromitos,Panathinaikos,1,1,1,0,2.53,3.78,-0.25,2.05,1.89
25/11/17,Giannina,Xanthi,1,1,0,0,2.43,3.69,-0.25,2.03,1.94
26/11/17,Asteras Tripolis,Levadeiakos,2,0,0,0,2.06,5.25,-0.25,1.76,2.28
26/11/17,Kerkyra,Olympiakos,1,3,0,0,14.5,1.3,1.75,1.78,2.21
26/11/17,Panetolikos,Larisa,3,1,0,0,1.83,6.37,-0.75,2.01,1.86
26/11/17,Panionios,PAOK,2,2,0,0,5,2.02,0.5,1.95,2.02
27/11/17,AEK,Platanias,3,0,0,0,1.2,19,-2,2.1,1.85
02/12/17,Asteras Tripolis,Kerkyra,4,0,0,0,1.75,6.39,-0.75,1.94,2.01
02/12/17,Olympiakos,Apollon,3,1,0,0,1.16,24.75,-2,1.87,2.07
02/12/17,Xanthi,PAOK,0,3,0,0,6.5,1.8,0.75,1.9,2.03
03/12/17,Lamia,Panetolikos,2,2,2,1,2.7,3.29,0,1.78,2.21
03/12/17,Larisa,Giannina,1,1,0,0,2.55,3.6,-0.25,2.12,1.88
03/12/17,Levadeiakos,AEK,0,2,0,0,6,1.78,0.75,1.92,2.02
03/12/17,Panathinaikos,Panionios,0,1,0,0,1.68,7,-0.75,1.88,2.06
04/12/17,Platanias,Atromitos,1,3,0,0,4,2.25,0.5,1.77,2.23
09/12/17,Larisa,Xanthi,1,0,0,0,2.79,3.2,-0.25,2.23,1.75
09/12/17,Panetolikos,Olympiakos,1,4,0,0,6.33,1.67,1,1.78,2.19
09/12/17,Panionios,Platanias,2,1,0,1,1.57,8.5,-1,1.99,1.98
10/12/17,Apollon,Asteras Tripolis,1,3,0,0,3.13,2.75,0,2.11,1.86
10/12/17,Atromitos,Levadeiakos,1,0,0,0,1.43,10.14,-1,1.67,2.35
10/12/17,Giannina,Lamia,1,1,0,0,1.85,6.37,-0.75,2.03,1.92
10/12/17,PAOK,Panathinaikos,4,0,1,1,1.46,10.5,-1,1.81,2.17
11/12/17,AEK,Kerkyra,3,1,0,0,1.12,45,-2.5,2.08,2.46
16/12/17,AEK,Apollon,0,0,0,0,1.17,34.25,-2,1.87,2.11
16/12/17,Kerkyra,Atromitos,1,3,0,0,3.6,2.34,0.25,1.96,1.98
16/12/17,Platanias,PAOK,0,1,0,0,20,1.23,2,1.85,2.2
17/12/17,Asteras Tripolis,Panetolikos,0,0,0,1,2.1,4.5,-0.5,2.08,1.9
17/12/17,Lamia,Larisa,0,2,0,0,2.55,3.6,-0.25,2.06,1.96
17/12/17,Olympiakos,Giannina,1,0,0,0,1.15,34,-2.5,2.19,1.85
17/12/17,Xanthi,Panathinaikos,1,1,0,0,2.63,3.24,-0.25,2.2,1.8
18/12/17,Levadeiakos,Panionios,2,1,0,0,3,2.9,0,2.01,1.93
06/01/18,Panetolikos,AEK,1,4,0,0,5.75,1.76,0.75,1.95,2
06/01/18,Panionios,Kerkyra,3,1,0,0,1.69,6.16,-1,2.29,1.72
06/01/18,PAOK,Levadeiakos,5,0,0,1,1.19,28.68,-2,1.94,2.14
07/01/18,Giannina,Asteras Tripolis,0,0,0,0,2.53,3.22,-0.25,2.14,1.81
07/01/18,Lamia,Xanthi,0,1,0,0,2.7,3.29,0,1.8,2.16
07/01/18,Larisa,Olympiakos,0,3,0,0,9.5,1.45,1.25,1.92,2.04
07/01/18,Panathinaikos,Platanias,2,0,0,1,1.41,12.2,-1.5,2.25,1.76
08/01/18,Apollon,Atromitos,0,3,0,0,3.47,2.46,0.25,1.88,2.06
13/01/18,Apollon,Panionios,1,1,0,1,3.1,2.77,0,2.08,1.87
13/01/18,Levadeiakos,Panathinaikos,3,2,0,0,3.62,2.45,0.25,1.92,2.02
13/01/18,Xanthi,Platanias,3,2,0,0,1.45,11.13,-1.25,2.13,1.83
14/01/18,AEK,Giannina,3,1,0,1,1.29,15,-1.75,2.13,1.84
14/01/18,Asteras Tripolis,Larisa,3,1,0,0,1.78,6.01,-0.75,2.04,1.9
14/01/18,Atromitos,Panetolikos,0,1,0,0,1.59,7.96,-1,2.08,1.85
14/01/18,Kerkyra,PAOK,0,3,0,0,34,1.15,2,2.16,1.81
15/01/18,Olympiakos,Lamia,2,0,0,0,1.16,26,-2,1.77,2.25
20/01/18,Larisa,AEK,0,0,0,0,7.59,1.57,0.75,2.27,1.76
20/01/18,Panathinaikos,Kerkyra,4,0,0,0,1.39,13.5,-1.5,2.18,1.81
20/01/18,Platanias,Levadeiakos,1,0,0,0,2.17,4.11,-0.25,1.85,2.08
21/01/18,Giannina,Atromitos,2,2,0,0,2.85,3.05,0,1.89,2.07
21/01/18,Lamia,Asteras Tripolis,1,0,0,0,2.91,3.05,0,1.96,1.97
21/01/18,Olympiakos,Xanthi,3,0,0,1,1.22,23.73,-1.75,1.98,1.99
21/01/18,Panetolikos,Panionios,1,1,0,0,2.79,3,0,1.88,2.06
21/01/18,PAOK,Apollon,3,0,0,1,1.13,40.3,-2.25,1.92,2.03
27/01/18,AEK,Lamia,2,0,0,0,1.2,26,-2,2.09,1.97
27/01/18,Apollon,Panathinaikos,0,0,0,1,2.95,2.9,0.25,1.64,2.42
27/01/18,Kerkyra,Platanias,2,0,0,1,2.75,3.1,0,1.85,2.12
28/01/18,Asteras Tripolis,Olympiakos,1,1,0,0,7.74,1.62,1,1.89,2.06
28/01/18,Atromitos,Larisa,1,0,0,0,1.65,7,-0.75,1.82,2.13
28/01/18,Panetolikos,PAOK,0,1,0,0,8.73,1.56,1.25,1.74,2.28
28/01/18,Panionios,Giannina,0,1,0,0,1.97,4.98,-0.5,1.91,2.05
28/01/18,Xanthi,Levadeiakos,2,1,0,0,1.8,6.12,-0.75,2,1.94
03/02/18,Asteras Tripolis,Xanthi,1,1,0,0,1.84,5.68,-0.5,1.82,2.11
03/02/18,Larisa,Panionios,0,0,0,0,2.78,3.1,0,1.91,2.02
03/02/18,Panathinaikos,Panetolikos,0,0,0,0,1.59,7.75,-1,2.06,1.91
04/02/18,Giannina,PAOK,1,3,0,0,8.3,1.56,1,1.9,2.03
04/02/18,Lamia,Atromitos,1,1,1,0,2.9,2.76,0,1.91,1.85
04/02/18,Levadeiakos,Kerkyra,2,0,0,0,1.92,5.25,-0.75,2.21,1.77
04/02/18,Olympiakos,AEK,1,2,1,0,1.84,5.32,-0.5,1.83,2.12
05/02/18,Platanias,Apollon,1,1,0,0,2.26,4,-0.25,1.91,2.07
10/02/18,Giannina,Panathinaikos,2,1,0,0,2.49,3.3,-0.25,2.06,1.84
10/02/18,Panionios,Lamia,1,0,0,0,1.76,5.75,-0.75,1.99,1.9
10/02/18,Xanthi,Kerkyra,1,1,0,0,1.66,6.75,-0.75,1.78,2.14
11/02/18,AEK,Asteras Tripolis,1,0,0,0,1.36,13,-1.5,2.09,1.81
11/02/18,Apollon,Levadeiakos,1,1,0,0,2.16,4.05,-0.25,1.78,2.13
11/02/18,Atromitos,Olympiakos,2,2,0,0,4.2,2.08,0.5,1.89,2.01
11/02/18,Panetolikos,Platanias,3,0,0,0,1.62,6.5,-1,2.12,1.79
12/02/18,PAOK,Larisa,3,0,0,0,1.17,26,-2,1.78,2.13
17/02/18,Asteras Tripolis,Atromitos,0,1,0,0,2.6,3.5,-0.25,2.05,1.88
17/02/18,Kerkyra,Apollon,2,0,0,0,2.56,3.5,-0.25,2.13,1.84
17/02/18,Lamia,PAOK,0,2,0,0,12,1.4,1.5,1.74,2.29
18/02/18,AEK,Xanthi,4,0,0,0,1.44,11,-1.5,2.27,1.75
18/02/18,Levadeiakos,Panetolikos,1,2,1,0,2.75,3.1,0,1.86,2.08
18/02/18,Olympiakos,Panionios,1,0,0,0,1.25,20.5,-1.75,2.05,1.93
18/02/18,Platanias,Giannina,0,3,0,0,2.65,3.25,-0.25,2.22,1.74
19/02/18,Larisa,Panathinaikos,0,1,0,0,3.1,2.8,0,2.11,1.88
24/02/18,Giannina,Levadeiakos,0,0,0,0,1.6,8,-1,2.11,1.84
24/02/18,Panathinaikos,Lamia,2,0,0,0,1.45,10.5,-1.25,2.06,1.89
24/02/18,Panionios,Asteras Tripolis,0,0,0,0,2.09,4.62,-0.5,2.07,1.88
25/02/18,Larisa,Platanias,1,0,0,0,1.98,5.5,-0.5,1.98,1.97
25/02/18,Panetolikos,Kerkyra,1,0,0,0,1.6,8.98,-0.75,1.77,2.24
25/02/18,Xanthi,Apollon,2,0,0,0,1.93,5.5,-0.75,2.24,1.79
26/02/18,Atromitos,AEK,1,1,0,0,3.65,2.39,0.25,1.93,2.01
03/03/18,Atromitos,Xanthi,1,0,0,0,1.67,6.75,-0.75,1.86,2.11
03/03/18,Kerkyra,Giannina,1,1,0,0,2.8,2.95,-0.25,2.29,1.72
03/03/18,Platanias,Lamia,1,2,0,1,2.65,3.3,0,1.77,2.17
04/03/18,AEK,Panionios,1,0,0,0,1.4,13,-1.5,2.2,1.75
04/03/18,Asteras Tripolis,PAOK,3,2,0,0,8.1,1.55,0.75,2.31,1.68
04/03/18,Levadeiakos,Larisa,2,1,0,0,2.75,3.1,-0.25,2.25,1.72
04/03/18,Olympiakos,Panathinaikos,1,1,0,1,1.45,10,-1.25,1.97,1.96
05/03/18,Apollon,Panetolikos,2,1,0,0,2.44,3.85,-0.25,2.02,2
10/03/18,Larisa,Kerkyra,0,0,0,1,2.03,4.89,-0.5,2.02,1.95
10/03/18,Panathinaikos,Asteras Tripolis,1,1,0,0,2.25,3.97,-0.5,2.18,1.78
10/03/18,Panionios,Atromitos,2,2,0,0,3.15,2.75,0,2.1,1.83
11/03/18,Lamia,Levadeiakos,1,1,0,0,1.8,6.1,-1,2.75,1.6
11/03/18,Platanias,Olympiakos,0,4,0,0,13,1.3,1.75,1.88,2.13
11/03/18,Xanthi,Panetolikos,1,0,0,0,2.3,3.75,-0.5,2.28,1.75
31/03/18,Atromitos,PAOK,0,2,0,0,5.84,1.8,0.75,1.9,2.04
31/03/18,Levadeiakos,Olympiakos,1,1,0,0,9.5,1.45,1.5,1.74,2.28
31/03/18,Panetolikos,Giannina,1,0,0,1,2.16,4.28,-0.25,1.79,2.17
01/04/18,AEK,Panathinaikos,3,0,0,1,1.46,10.47,-1.25,2.09,1.84
01/04/18,Apollon,Larisa,3,0,0,0,2.18,4.59,-0.25,1.79,2.2
01/04/18,Kerkyra,Lamia,0,0,0,0,2.39,3.8,-0.25,1.98,1.95
01/04/18,Panionios,Xanthi,0,0,0,0,2.1,4.61,-0.25,1.77,2.22
02/04/18,Asteras Tripolis,Platanias,4,0,0,0,1.32,13,-1.75,2.13,1.81
04/04/18,Giannina,Apollon,0,1,0,0,2.08,4.26,-0.5,2.05,1.9
14/04/18,Lamia,Apollon,0,0,0,1,4.55,5.31,0,1.9,2.11
14/04/18,Levadeiakos,Asteras Tripolis,1,0,0,1,3.55,2.37,0.25,2,2.02
14/04/18,PAOK,Panionios,3,1,0,0,1.17,29,-2,1.87,2.07
15/04/18,Larisa,Panetolikos,4,2,0,1,2.11,4.5,-0.5,2.09,1.88
15/04/18,Panathinaikos,Atromitos,1,0,1,0,2.9,2.8,0,1.98,1.95
15/04/18,Platanias,AEK,0,1,0,0,34,1.14,2.25,2.03,1.92
15/04/18,Xanthi,Giannina,3,0,0,0,2.18,4.4,-0.5,2.09,1.85
16/04/18,Olympiakos,Kerkyra,5,1,0,0,1.2,17.15,-1.75,1.75,2.33
22/04/18,AEK,Levadeiakos,2,0,0,0,1.08,57.05,-2.5,1.93,1.99
22/04/18,Apollon,Olympiakos,1,0,0,0,9.55,1.44,1.5,1.79,2.29
22/04/18,Atromitos,Platanias,4,1,0,1,1.12,46,-2.25,1.85,2.09
22/04/18,Giannina,Larisa,0,0,0,0,1.79,6.2,-0.5,1.79,2.29
22/04/18,Kerkyra,Asteras Tripolis,1,3,1,0,3.95,2.3,0.25,2.06,1.91
22/04/18,Panetolikos,Lamia,1,0,0,1,2.41,3.6,-0.25,2.06,1.92
22/04/18,Panionios,Panathinaikos,0,3,0,0,2.45,3.54,-0.25,2.06,1.93
22/04/18,PAOK,Xanthi,2,1,0,0,1.22,17,-2,2.17,1.82
29/04/18,Asteras Tripolis,Apollon,2,1,0,0,1.25,16,-1.75,2.02,1.95
29/04/18,Kerkyra,AEK,0,0,0,0,16,1.25,2,1.75,2.23
29/04/18,Lamia,Giannina,2,1,0,0,1.9,6,-0.75,2.14,1.77
29/04/18,Levadeiakos,Atromitos,0,1,0,0,4.95,1.89,0.25,2.55,1.61
29/04/18,Olympiakos,Panetolikos,4,0,0,0,1.32,11,-1.5,1.92,2.05
29/04/18,Panathinaikos,PAOK,0,3,0,0,6,1.7,0.75,2.06,1.87
29/04/18,Platanias,Panionios,1,2,0,0,6,1.63,1,1.87,2.08
29/04/18,Xanthi,Larisa,1,0,0,1,1.43,14,-1.25,1.84,2.2
05/05/18,Apollon,AEK,0,1,1,0,6,1.7,0.75,2.07,1.93
05/05/18,Atromitos,Kerkyra,4,0,0,0,1.16,26,-2,1.79,2.15
05/05/18,Larisa,Lamia,1,1,0,0,1.7,5.5,-0.75,1.92,2.02
05/05/18,PAOK,Platanias,3,0,0,0,1.04,155,-3.25,1.57,2.55
06/05/18,Giannina,Olympiakos,3,0,0,0,4.35,1.89,0.75,1.81,2.11
06/05/18,Panetolikos,Asteras Tripolis,0,2,1,0,4.75,1.89,0.5,2.1,1.84
06/05/18,Panionios,Levadeiakos,2,0,0,0,1.66,5.75,-0.75,1.8,2.19
07/05/18,Panathinaikos,Xanthi,1,2,0,0,2.7,2.85,0,1.9,2.02
25/08/2018,AEK,Giannina,2,0,0,0,1.4,12.51,-1.25,1.95,1.98
25/08/2018,Apollon,Larisa,0,1,0,0,2.33,3.61,-0.25,2.01,1.94
25/08/2018,Panetolikos,Atromitos,1,2,0,0,3.06,2.78,0,2.09,1.88
25/08/2018,PAOK,Asteras Tripolis,1,0,0,0,1.25,18,-1.75,2.06,1.87
26/08/2018,Olympiakos,Levadeiakos,1,0,0,0,1.18,30.44,-2,1.95,2.12
26/08/2018,Panionios,OFI Crete,2,2,0,0,2.05,4.2,-0.5,2.06,1.86
26/08/2018,Xanthi,Panathinaikos,0,1,1,0,2.01,4.8,-0.5,2.03,1.91
27/08/2018,Lamia,Aris,0,3,0,0,2.54,3.34,-0.25,2.17,1.78
01/09/2018,Asteras Tripolis,AEK,0,1,0,0,4.33,2.08,0.5,1.82,2.13
01/09/2018,Atromitos,Xanthi,0,0,0,0,1.77,5.28,-0.75,2.03,1.92
01/09/2018,Panathinaikos,Lamia,3,1,0,0,1.7,7,-0.75,1.95,2.12
02/09/2018,Aris,Larisa,2,0,0,0,1.72,6.16,-0.75,1.96,1.98
02/09/2018,Olympiakos,Giannina,5,0,0,0,1.31,13,-1.5,1.96,1.98
02/09/2018,Panionios,PAOK,0,1,0,0,8,1.62,1,1.92,2.05
03/09/2018,Levadeiakos,Apollon,1,0,1,0,2.35,3.62,-0.25,2.05,1.92
03/09/2018,Panetolikos,OFI Crete,2,1,0,0,2.38,3.5,-0.25,2.02,1.92
15/09/2018,AEK,Panionios,4,0,0,0,1.4,13.82,-1.25,2,1.92
15/09/2018,Apollon,Giannina,1,2,0,1,2.67,3.4,0,1.82,2.28
15/09/2018,OFI Crete,PAOK,1,3,0,0,11.02,1.44,1.25,1.86,2.09
16/09/2018,Atromitos,Lamia,1,0,0,1,1.34,16.92,-1.25,1.93,2.04
16/09/2018,Larisa,Panathinaikos,1,3,0,0,3.06,2.8,0,2.06,1.9
16/09/2018,Olympiakos,Asteras Tripolis,2,1,0,0,1.41,11.25,-1.25,1.97,1.99
16/09/2018,Xanthi,Panetolikos,1,1,0,0,2.12,4.36,-0.5,2.09,1.84
17/09/2018,Aris,Levadeiakos,2,0,0,0,1.63,7.5,-0.75,1.82,2.13
22/09/2018,Asteras Tripolis,Apollon,2,0,0,0,1.51,10,-1,1.93,2.04
22/09/2018,Atromitos,Larisa,2,0,0,1,1.65,7,-1,2.29,1.8
22/09/2018,Giannina,Aris,1,0,0,0,3.28,2.55,0.25,1.85,2.1
23/09/2018,Panathinaikos,Levadeiakos,3,0,0,0,1.64,7,-1,2.2,1.82
23/09/2018,PAOK,AEK,2,0,0,0,1.94,4.83,-0.5,1.64,1.99
23/09/2018,Xanthi,OFI Crete,3,0,0,0,2.16,4.03,-0.5,2.16,1.79
24/09/2018,Panetolikos,Lamia,2,2,0,0,1.88,5,-0.75,2.18,1.82
24/09/2018,Panionios,Olympiakos,0,1,0,0,7.5,1.57,1,2,1.97
29/09/2018,Larisa,Panetolikos,1,0,0,0,2.5,3.6,-0.25,2.11,1.85
29/09/2018,OFI Crete,AEK,0,3,1,0,6.5,1.83,0.75,1.9,2.09
29/09/2018,Panathinaikos,Giannina,2,1,0,0,1.7,6.06,-0.75,1.92,2.05
30/09/2018,Apollon,Panionios,0,2,0,0,3.31,2.65,0,2.2,1.8
30/09/2018,Aris,Asteras Tripolis,2,0,0,0,2.29,3.8,-0.25,1.93,2
30/09/2018,Levadeiakos,Atromitos,0,2,0,0,3.9,2.3,0.25,2.02,1.92
30/09/2018,Olympiakos,PAOK,0,1,0,0,2.33,3.7,-0.25,1.97,1.97
01/10/2018,Lamia,Xanthi,0,0,0,0,2.85,3.1,0,1.87,2.05
06/10/2018,Asteras Tripolis,Panathinaikos,1,1,1,0,2.45,3.3,-0.25,2.06,1.88
06/10/2018,Panetolikos,Levadeiakos,2,1,0,1,2.1,4.35,-0.25,1.78,2.2
06/10/2018,Panionios,Aris,1,0,0,0,2.5,3.35,-0.25,2.09,1.85
07/10/2018,AEK,Olympiakos,1,1,0,0,2.6,3.15,-0.25,2.19,1.81
07/10/2018,Atromitos,Giannina,1,0,0,0,1.71,7.5,-0.75,1.96,1.98
07/10/2018,Lamia,OFI Crete,1,1,0,0,2.15,4.25,-0.25,1.8,2.17
07/10/2018,PAOK,Apollon,2,0,0,0,1.16,26,-2.25,2.01,1.92
08/10/2018,Xanthi,Larisa,1,0,0,2,1.95,5.05,-0.75,2.27,1.7
20/10/2018,Apollon,AEK,0,2,0,0,9.75,1.45,1.25,1.9,2.03
20/10/2018,Giannina,Panetolikos,0,2,0,0,2.1,4.5,-0.5,2.08,1.88
20/10/2018,Larisa,Lamia,1,2,0,1,2.2,4.1,-0.25,1.85,2.11
